"player","australian_open","roland_garros","wimbledon","us_open","total_wins"
"Roger Federer","102","73","105","89","369"
"Novak Djokovic","94","92","92","88","366"
"Rafael Nadal","77","112","58","67","314"
"Jimmy Connors","11","40","84","98","233"
"Andre Agassi","48","51","46","79","224"
"Ivan Lendl","48","53","48","73","222"
"Pete Sampras","45","24","63","71","203"
"Andy Murray","51","39","61","49","200"
"Stefan Edberg","56","30","49","43","178"
"John McEnroe","18","25","59","65","167"
